Rank,Term,Frequency,Type
156,care,285,word
157,gap,283,word
158,suggest,282,word
159,fiscal,281,word
160,relative,281,word
161,strategy,279,word
162,work,279,word
163,inflation,278,word
164,industry,276,word
165,lead,273,word
166,role,272,word
167,discrimination,271,word
168,pricing,270,word
169,woman,270,word
170,group,269,word
171,size,267,word
172,well,267,word
173,heterogeneous,267,word
174,affect,265,word
175,jel,263,word
176,field,263,word
177,student,262,word
178,form,260,word
179,endogenous,258,word
180,even,257,word
181,consistent,257,word
182,intervention,253,word
183,account,249,word
184,regulation,248,word
185,exposure,247,word
186,entry,244,word
187,action,243,word
188,sector,243,word
189,system,242,word
190,labour,242,word
191,probability,240,word
192,percent,239,word
193,consequence,238,word
194,among,236,word
195,world,235,word
196,propose,234,word
197,decline,234,word
198,number,233,word
199,self,232,word
200,control,231,word
201,international,231,word
202,human,230,word
203,saving,229,word
204,estimator,229,word
205,setting,228,word
206,application,228,word
207,migration,227,word
208,cross,227,word
209,output,224,word
210,important,223,word
211,pay,222,word
212,real,221,word
213,type,219,word
214,property,219,word
215,experimental,219,word
216,present,217,word
217,population,217,word
218,random,215,word
219,macroeconomic,215,word
220,life,214,word
221,global,214,word
222,signal,213,word
223,college,213,word
224,elasticity,212,word
225,mortality,212,word
226,case,212,word
227,point,211,word
228,document,211,word
229,rise,210,word
230,spillover,209,word
231,small,208,word
232,pattern,208,word
233,increased,207,word
234,spending,207,word
235,within,207,word
236,reform,207,word
237,aversion,206,word
238,positive,205,word
239,conflict,205,word
240,factor,204,word
241,transfer,203,word
242,identify,202,word
243,negative,201,word
244,efficient,200,word
245,causal,199,word
246,second,199,word
247,default,199,word
248,equilibria,198,word
249,order,197,word
250,many,197,word
251,likely,197,word
252,common,197,word
253,generate,196,word
254,allow,195,word
255,news,194,word
256,payment,194,word
257,marginal,193,word
258,parameter,192,word
259,commitment,192,word
260,larger,192,word
261,novel,192,word
262,transmission,192,word
263,strategic,191,word
264,bargaining,191,word
265,access,190,word
266,without,189,word
267,support,187,word
268,survey,185,word
269,age,185,word
270,management,185,word
271,rational,184,word
272,panel,184,word
273,make,184,word
274,multiple,184,word
275,key,183,word
276,interaction,183,word
277,adverse,183,word
278,player,181,word
279,future,181,word
280,family,180,word
281,scale,180,word
282,city,180,word
283,doe,180,word
284,explain,180,word
285,housing,180,word
286,origin,179,word
287,whether,179,word
288,currency,178,word
289,observed,178,word
290,limit,178,word
291,moral,178,word
292,bound,177,word
293,research,177,word
294,relationship,177,word
295,assignment,177,word
296,reduction,177,word
297,buyer,176,word
298,subsidy,176,word
299,depend,176,word
300,prediction,175,word
301,due,175,word
302,increasing,174,word
303,marriage,174,word
304,driven,173,word
305,characterize,172,word
306,externality,172,word
307,class,172,word
308,expected,171,word
309,restriction,171,word
310,experience,171,word
311,black,171,word
312,china,170,word
313,period,170,word
314,media,170,word
315,climate,170,word
316,communication,169,word
317,making,169,word
318,three,169,word
319,people,168,word
320,input,168,word
321,improve,167,word
322,process,166,word
323,markup,166,word
324,ability,165,word
325,knowledge,165,word
326,foreign,165,word
327,war,164,word
328,error,164,word
329,used,163,word
330,seller,163,word
331,environment,163,word
332,simple,163,word
333,flow,163,word
334,hazard,163,word
335,payoff,162,word
336,channel,162,word
337,institution,162,word
338,organization,162,word
339,right,161,word
340,profit,160,word
341,diffusion,160,word
342,adoption,160,word
343,capacity,160,word
344,short,159,word
345,party,159,word
346,adjustment,158,word
347,stock,158,word
348,counterfactual,158,word
349,quantitative,158,word
350,law,157,word
351,security,157,word
352,linear,156,word
353,formation,156,word
354,revenue,155,word
355,yield,155,word
356,cash,155,word
357,including,154,word
358,feature,152,word
359,often,152,word
360,bayesian,151,word
361,early,151,word
362,volatility,151,word
363,spatial,151,word
364,source,151,word
365,persuasion,151,word
366,platform,150,word
367,resource,150,word
368,substantial,150,word
369,stability,150,word
370,take,149,word
371,competitive,149,word
372,investor,149,word
373,offer,148,word
374,cognitive,147,word
375,score,147,word
376,central,147,word
377,moment,147,word
378,much,146,word
379,opportunity,145,word
380,confidence,145,word
381,service,144,word
382,randomized,144,word
383,sale,144,word
384,advantage,143,word
385,crise,143,word
386,equity,141,word
387,statistic,141,word
388,assumption,141,word
389,administrative,140,word
390,imply,139,word
391,discrete,139,word
392,patient,139,word
393,alternative,139,word
394,practice,138,word
395,potential,138,word
396,pollution,138,word
397,home,138,word
398,race,138,word
399,apply,137,word
400,location,136,word
401,reputation,136,word
402,prior,136,word
403,conditional,135,word
404,surplus,135,word
405,better,135,word
406,corporate,135,word
407,influence,135,word
408,toward,134,word
409,single,134,word
410,misallocation,134,word
411,choose,134,word
412,crisis,134,word
413,redistribution,134,word
414,reduced,133,word
415,persistent,132,word
416,racial,132,word
417,intergenerational,132,word
418,limited,131,word
419,greater,131,word
420,significantly,131,word
421,fact,131,word
422,fixed,130,word
423,instrumental,130,word
424,neighborhood,130,word
425,theorem,129,word
426,substantially,129,word
427,india,129,word
428,integration,129,word
429,crime,129,word
430,participation,129,word
431,violence,127,word
432,reallocation,127,word
433,premium,127,word
434,additional,127,word
435,asymmetric,127,word
436,principal,126,word
437,aggregation,126,word
438,incomplete,125,word
439,activity,125,word
440,similar,125,word
441,trend,125,word
442,money,125,word
443,algorithm,124,word
444,finance,124,word
445,curve,124,word
446,loan,124,word
447,land,123,word
448,election,123,word
449,employer,123,word
450,evolution,123,word
451,derive,122,word
452,minimum,122,word
453,decrease,122,word
454,dispersion,122,word
455,disclosure,122,word
456,voter,122,word
457,procurement,122,word
458,versus,121,word
459,shape,121,word
460,quantify,121,word
461,subject,121,word
462,specific,121,word
463,instrument,120,word
464,enforcement,120,word
465,recession,120,word
466,bond,120,word
467,poverty,120,word
468,asymptotic,120,word
469,finally,119,word
470,main,119,word
471,attention,119,word
472,polarization,118,word
473,micro,118,word
474,option,118,word
475,female,118,word
476,strong,117,word
477,given,117,word
478,sorting,117,word
479,stochastic,117,word
480,face,117,word
481,third,116,word
482,matter,116,word
483,nonparametric,116,word
484,sharing,116,word
485,comparative,116,word
486,likelihood,115,word
487,record,115,word
488,boom,115,word
489,persistence,115,word
490,estimated,114,word
491,area,114,word
492,match,114,word
493,domestic,114,word
494,imperfect,113,word
495,attitude,113,word
496,rich,112,word
497,several,111,word
498,borrowing,111,word
499,effort,111,word
500,agricultural,111,word
501,identity,110,word
502,discontinuity,110,word
503,top,110,word
504,way,110,word
505,banking,110,word
506,urban,109,word
507,existing,109,word
508,part,109,word
509,memory,109,word
510,partial,108,word
511,repeated,108,word
512,nominal,108,word
513,per,108,word
514,norm,108,word
515,free,108,word
516,inattention,108,word
517,expansion,108,word
518,establish,107,word
519,online,107,word
520,characteristic,107,word
521,context,107,word
522,via,106,word
523,event,106,word
524,act,106,word
525,parent,106,word
526,import,106,word
527,sufficient,106,word
528,effective,105,word
529,rural,105,word
530,recent,105,word
531,total,105,word
532,demonstrate,105,word
533,natural,105,word
534,contrast,105,word
535,agreement,105,word
536,emission,105,word
537,evaluate,105,word
538,multiplier,105,word
539,provision,105,word
540,trial,104,word
541,capture,104,word
542,expenditure,104,word
543,mortgage,104,word
544,chain,104,word
545,plan,104,word
546,direct,103,word
547,federal,103,word
548,become,103,word
549,view,103,word
550,play,103,word
551,great,103,word
552,american,103,word
553,acquisition,102,word
554,associated,102,word
555,require,102,word
556,arise,102,word
557,cause,101,word
558,distortion,101,word
559,bid,101,word
560,determinant,100,word
561,question,100,word
562,path,100,word
563,implementation,100,word
564,behavioral,99,word
565,hold,99,word
566,robustness,99,word
567,illustrate,99,word
568,monitoring,99,word
569,raise,99,word
570,white,99,word
571,dependence,99,word
572,leverage,98,word
573,estimating,98,word
574,immigrant,98,word
575,immigration,98,word
576,status,98,word
577,reducing,98,word
578,fluctuation,97,word
579,quantity,97,word
580,net,97,word
581,coverage,97,word
582,weak,97,word
583,complementarity,96,word
584,ambiguity,96,word
585,link,96,word
586,reveal,96,word
587,purchase,96,word
588,shift,96,word
589,teacher,96,word
590,exploit,96,word
591,hypothesis,96,word
592,salience,96,word
593,stable,95,word
594,peer,95,word
595,transition,94,word
596,civil,94,word
597,intertemporal,94,word
598,zero,93,word
599,costly,93,word
600,balance,93,word
601,rigidity,93,word
602,leading,93,word
603,index,93,word
604,component,93,word
605,introduce,93,word
606,union,93,word
607,mean,93,word
608,overall,93,word
609,duration,93,word
610,importance,92,word
611,help,92,word
612,air,92,word
613,induce,92,word
614,man,92,word
615,task,92,word
616,diversity,92,word
617,energy,92,word
618,current,91,word
619,post,91,word
620,construct,91,word
621,interval,91,word
622,explore,91,word
623,trading,91,word
624,quasi,91,word
625,generation,91,word
626,cultural,90,word
627,team,90,word
628,unique,90,word
629,highlight,90,word
630,plant,90,word
631,least,90,word
632,convergence,90,word
633,national,89,word
634,substitution,89,word
635,existence,89,word
636,margin,89,word
637,rather,89,word
638,initial,89,word
639,history,89,word
640,community,89,word
641,deviation,89,word
642,portfolio,89,word
643,little,89,word
644,empirically,88,word
645,achievement,88,word
646,monopoly,88,word
647,fall,88,word
648,known,88,word
649,correlated,88,word
650,cooperation,87,word
651,predict,87,word
652,percentage,87,word
653,region,87,word
654,environmental,87,word
655,developing,87,word
656,lending,87,word
657,thus,87,word
658,evaluation,87,word
659,training,87,word
660,manager,87,word
661,carbon,87,word
662,exogenous,86,word
663,build,86,word
664,driver,86,word
665,exhibit,86,word
666,measuring,86,word
667,poor,86,word
668,merger,86,word
669,tariff,86,word
670,society,86,word
671,criminal,86,word
672,solution,85,word
673,finite,85,word
674,series,85,word
675,best,85,word
676,medical,85,word
677,improving,85,word
678,lottery,85,word
679,concern,84,word
680,relatively,84,word
681,full,84,word
682,related,84,word
683,childhood,84,word
684,highly,84,word
685,ratio,84,word
686,macro,84,word
687,outside,84,word
688,drug,84,word
689,testing,84,word
690,pareto,84,word
691,food,83,word
692,force,83,word
693,exploiting,83,word
694,vary,83,word
695,reserve,83,word
696,taking,83,word
697,identified,83,word
698,physician,83,word
699,propensity,83,word
700,correlation,82,word
701,forecast,82,word
702,degree,82,word
703,representation,82,word
704,participant,82,word
705,valuation,82,word
706,presence,82,word
707,employee,82,word
708,sovereign,82,word
709,target,82,word
710,simulation,82,word
711,geography,82,word
712,static,81,word
713,coordination,81,word
714,intermediary,81,word
715,hospital,81,word
716,randomly,81,word
717,project,81,word
718,determine,81,word
719,continuous,81,word
720,bidder,81,word
721,ownership,81,word
722,educational,80,word
723,induced,80,word
724,spread,80,word
725,rent,80,word
726,export,80,word
727,space,80,word
728,menu,80,word
729,targeting,79,word
730,sequential,79,word
731,century,79,word
732,constrained,79,word
733,past,79,word
734,possible,78,word
735,must,78,word
736,industrial,78,word
737,technical,78,word
738,regime,78,word
739,borrower,78,word
740,multi,78,word
741,medicare,78,word
742,led,78,word
743,parental,78,word
744,variance,78,word
745,half,78,word
746,unit,78,word
747,aid,78,word
748,unobserved,78,word
749,collusion,77,word
750,differential,77,word
751,biased,77,word
752,concentration,77,word
753,prospect,77,word
754,theoretical,77,word
755,patent,77,word
756,place,76,word
757,weight,76,word
758,tool,76,word
759,democracy,76,word
760,agriculture,76,word
761,screening,76,word
762,statistical,76,word
763,call,76,word
764,address,76,word
765,following,75,word
766,insight,75,word
767,range,75,word
768,enrollment,75,word
769,dependent,75,word
770,sensitivity,75,word
771,hour,75,word
772,dollar,74,word
773,either,74,word
774,technological,74,word
775,around,74,word
776,instead,74,word
777,receive,74,word
778,remain,74,word
779,relevant,73,word
780,learn,73,word
781,trust,73,word
782,accounting,73,word
783,frequency,73,word
784,affected,73,word
785,supplier,73,word
786,stimulus,72,word
787,variety,72,word
788,moreover,72,word
789,follow,72,word
790,career,72,word
791,example,71,word
792,assess,71,word
793,improvement,71,word
794,need,71,word
795,politic,71,word
796,vertical,71,word
797,create,70,word
798,fertility,70,word
799,extent,70,word
800,issue,70,word
801,differ,70,word
802,major,70,word
803,external,70,word
804,behaviour,70,word
805,procedure,69,word
806,million,69,word
807,discuss,69,word
808,elite,69,word
809,respond,69,word
810,house,69,word
811,underlying,69,word
812,largest,69,word
813,manufacturing,69,word
814,accumulation,68,word
815,protection,68,word
816,yet,68,word
817,mental,68,word
818,disaster,68,word
819,argue,68,word
820,cut,68,word
821,measurement,68,word
822,liberalization,68,word
823,idea,67,word
824,providing,67,word
825,characterization,67,word
826,historical,67,word
827,joint,67,word
828,stronger,67,word
829,nature,67,word
830,water,67,word
831,magnitude,67,word
832,four,67,word
833,perfect,67,word
834,compare,67,word
835,side,67,word
836,compared,66,word
837,various,66,word
838,smaller,66,word
839,despite,66,word
840,biase,66,word
841,effectiveness,66,word
842,admission,66,word
843,trap,66,word
844,customer,66,word
845,indicate,66,word
846,include,66,word
847,feedback,66,word
848,fairness,66,word
849,disability,66,word
850,automation,66,word
851,fundamental,65,word
852,maker,65,word
853,building,65,word
854,pass,65,word
855,suggesting,65,word
856,obtain,65,word
857,discretion,65,word
858,generalized,65,word
859,flexible,65,word
860,report,65,word
861,keynesian,64,word
862,rationality,64,word
863,contest,64,word
864,especially,64,word
865,informed,64,word
866,ethnic,64,word
867,candidate,64,word
868,corruption,64,word
869,exist,64,word
870,bankruptcy,64,word
871,dimension,64,word
872,close,64,word
873,transaction,64,word
874,disparity,64,word
875,ante,63,word
876,retail,63,word
877,quantitatively,63,word
878,male,63,word
879,science,63,word
880,advertising,63,word
881,contribution,62,word
882,idiosyncratic,62,word
883,africa,62,word
884,month,62,word
885,campaign,62,word
886,delegation,62,word
887,revealed,62,word
888,composition,62,word
889,gdp,62,word
890,extensive,62,word
891,electricity,62,word
892,farmer,61,word
893,position,61,word
894,productive,61,word
895,wide,61,word
896,working,61,word
897,measured,61,word
898,particular,61,word
899,bootstrap,61,word
900,distributional,61,word
901,attribute,60,word
902,culture,60,word
903,motivated,60,word
904,machine,60,word
905,fully,60,word
906,failure,60,word
907,noise,60,word
908,stage,60,word
909,leave,60,word
910,independent,60,word
911,resulting,60,word
912,fail,60,word
913,applicant,59,word
914,inconsistency,59,word
915,observe,59,word
916,whose,59,word
917,along,59,word
918,line,59,word
919,varying,59,word
920,baye,59,word
921,digital,59,word
922,vote,59,word
923,compensation,59,word
924,principle,58,word
925,connection,58,word
926,collateral,58,word
927,amount,58,word
928,constant,58,word
929,privacy,58,word
930,nonlinear,58,word
931,allowing,58,word
932,threshold,58,word
933,traditional,58,word
934,explanation,58,word
935,transparency,58,word
936,tractable,58,word
937,directly,58,word
938,equation,58,word
939,retirement,58,word
940,treated,58,word
941,audit,58,word
942,representative,57,word
943,extend,57,word
944,rising,57,word
945,occupation,57,word
946,later,57,word
947,collective,57,word
948,decade,57,word
949,implement,57,word
950,concentrated,57,word
951,drive,57,word
952,occupational,57,word
953,sided,57,word
954,equal,57,word
955,sticky,57,word
956,exit,57,word
957,intermediation,57,word
958,thinking,57,word
959,experimentation,56,word
960,primary,56,word
961,agency,56,word
962,understanding,56,word
963,end,56,word
964,substitute,56,word
965,consideration,56,word
966,politician,56,word
967,safety,56,word
968,entrepreneurship,56,word
969,member,56,word
970,association,56,word
971,perception,56,word
972,equivalent,55,word
973,discount,55,word
974,available,55,word
975,although,55,word
976,researcher,55,word
977,willingness,55,word
978,pre,55,word
979,perceived,55,word
980,identifying,55,word
981,assigned,55,word
982,foundation,55,word
983,complexity,55,word
984,give,55,word
985,oligopoly,54,word
986,rank,54,word
987,improved,54,word
988,priority,54,word
989,controlled,54,word
990,though,54,word
991,particularly,54,word
992,maximum,54,word
993,consistency,54,word
994,start,54,word
995,voting,54,word
996,misspecification,54,word
997,internal,54,word
998,behavioural,54,word
999,hiring,54,word
1000,subjective,53,word
1001,achieve,53,word
1002,negotiation,53,word
1003,contagion,53,word
1004,academic,53,word
1005,citizen,53,word
1006,explained,53,word
1007,together,53,word
1008,open,53,word
1009,critical,53,word
1010,every,53,word
1011,double,53,word
1012,projection,53,word
1013,parametric,53,word
1014,adaptive,53,word
1015,precautionary,53,word
1016,forward,52,word
1017,left,52,word
1018,durable,52,word
1019,targeted,52,word
1020,pressure,52,word
1021,disease,52,word
1022,fund,52,word
1023,tend,52,word
1024,delay,52,word
1025,turnover,52,word
1026,move,52,word
1027,occur,52,word
1028,grow,52,word
1029,establishment,52,word
1030,puzzle,51,word
1031,light,51,word
1032,quantile,51,word
1033,youth,51,word
1034,changing,51,word
1035,intensive,51,word
1036,maturity,51,word
1037,econometric,51,word
1038,oil,51,word
1039,focus,51,word
1040,combine,51,word
1041,strongly,51,word
1042,requirement,51,word
1043,premia,51,word
1044,village,51,word
1045,death,51,word
1046,imbalance,51,word
1047,mixed,51,word
1048,bidding,51,word
1049,transformation,51,word
1050,birth,51,word
1051,iii,50,word
1052,randomization,50,word
1053,young,50,word
1054,county,50,word
1055,day,50,word
1056,previous,50,word
1057,leader,50,word
1058,extreme,50,word
1059,majority,50,word
1060,provided,50,word
1061,depression,50,word
1062,endogenously,50,word
1063,sectional,50,word
1064,workplace,50,word
1065,linked,50,word
1066,combination,50,word
1067,comparison,50,word
1068,observation,50,word
1069,uniform,50,word
1070,experienced,50,word
1071,adult,50,word
1072,challenge,50,word
1073,segregation,50,word
1074,density,49,word
1075,appear,49,word
1076,financing,49,word
1077,perform,49,word
1078,cluster,49,word
1079,inefficient,49,word
1080,assessment,49,word
1081,modern,49,word
1082,contingent,49,word
1083,socially,49,word
1084,transport,49,word
1085,hand,49,word
1086,informal,49,word
1087,multinational,49,word
1088,core,48,word
1089,convex,48,word
1090,revolution,48,word
1091,attainment,48,word
1092,lender,48,word
1093,dimensional,48,word
1094,reflect,48,word
1095,cyclical,48,word
1096,judgment,48,word
1097,success,48,word
1098,construction,48,word
1099,inertia,48,word
1100,implemented,48,word
1101,winner,48,word
1102,calibrated,48,word
1103,rely,48,word
1104,contact,48,word
1105,tail,48,word
1106,deficit,48,word
1107,alway,47,word
1108,speed,47,word
1109,penalty,47,word
1110,added,47,word
1111,german,47,word
1112,extension,47,word
1113,base,47,word
1114,conduct,47,word
1115,creation,47,word
1116,thereby,47,word
1117,five,47,word
1118,made,47,word
1119,adaptation,47,word
1120,approximately,47,word
1121,car,47,word
1122,monopsony,47,word
1123,combining,46,word
1124,sharp,46,word
1125,distance,46,word
1126,fraction,46,word
1127,characterized,46,word
1128,turn,46,word
1129,addition,46,word
1130,indirect,46,word
1131,sectoral,46,word
1132,frontier,46,word
1133,produce,46,word
1134,mitigate,46,word
1135,company,46,word
1136,matched,46,word
1137,posterior,46,word
1138,budget,46,word
1139,implicit,46,word
1140,sex,46,word
1141,microfinance,46,word
1142,dominant,45,word
1143,competing,45,word
1144,expand,45,word
1145,movement,45,word
1146,skilled,45,word
1147,fewer,45,word
1148,geographic,45,word
1149,faster,45,word
1150,maximization,45,word
1151,subsequent,45,word
1152,detailed,45,word
1153,formal,45,word
1154,cheap,45,word
1155,typically,45,word
1156,come,45,word
1157,prove,45,word
1158,contracting,45,word
1159,integrated,45,word
1160,semiparametric,45,word
1161,commonly,45,word
1162,informational,45,word
1163,true,45,word
1164,psychology,45,word
1165,gravity,45,word
1166,disagreement,44,word
1167,judge,44,word
1168,owner,44,word
1169,primarily,44,word
1170,sufficiently,44,word
1171,paid,44,word
1172,district,44,word
1173,kidney,44,word
1174,germany,44,word
1175,provider,44,word
1176,observable,44,word
1177,holding,44,word
1178,transportation,44,word
1179,taste,44,word
1180,conventional,44,word
1181,barrier,44,word
1182,sequence,44,word
1183,directed,44,word
1184,content,44,word
1185,certain,44,word
1186,deposit,44,word
1187,funding,44,word
1188,justice,44,word
1189,averse,43,word
1190,curse,43,word
1191,discovery,43,word
1192,talk,43,word
1193,switching,43,word
1194,exposed,43,word
1195,donor,43,word
1196,inefficiency,43,word
1197,infrastructure,43,word
1198,according,43,word
1199,european,43,word
1200,false,43,word
1201,retailer,43,word
1202,optimality,43,word
1203,nash,43,word
1204,normal,43,word
1205,dominance,43,word
1206,separation,43,word
1207,beyond,43,word
1208,longer,43,word
1209,police,43,word
1210,pair,42,word
1211,stationary,42,word
1212,privately,42,word
1213,contribute,42,word
1214,introduction,42,word
1215,baseline,42,word
1216,ask,42,word
1217,severe,42,word
1218,infant,42,word
1219,lack,42,word
1220,feasible,42,word
1221,overconfidence,42,word
1222,risky,42,word
1223,emerge,42,word
1224,complete,42,word
1225,sender,42,word
1226,optimization,42,word
1227,indian,42,word
1228,vacancy,42,word
1229,officer,42,word
1230,resolution,42,word
1231,agglomeration,42,word
1232,benchmark,42,word
1233,impulse,42,word
1234,regret,42,word
1235,showing,41,word
1236,generally,41,word
1237,industrialization,41,word
1238,scheme,41,word
1239,preferred,41,word
1240,unknown,41,word
1241,back,41,word
1242,informative,41,word
1243,applied,41,word
1244,bust,41,word
1245,methodology,41,word
1246,nearly,41,word
1247,census,41,word
1248,broad,41,word
1249,timing,41,word
1250,valid,41,word
1251,receiver,41,word
1252,moving,41,word
1253,binary,41,word
1254,perspective,41,word
1255,sizable,41,word
1256,border,41,word
1257,segmentation,41,word
1258,enough,40,word
1259,narrative,40,word
1260,theoretically,40,word
1261,talent,40,word
1262,partially,40,word
1263,designed,40,word
1264,last,40,word
1265,stop,40,word
1266,motive,40,word
1267,signaling,40,word
1268,sheet,40,word
1269,arbitrage,40,word
1270,excess,40,word
1271,doctor,40,word
1272,widely,40,word
1273,version,40,word
1274,driving,40,word
1275,safe,40,word
1276,stem,40,word
1277,middle,40,word
1278,older,40,word
1279,grant,40,word
1280,generating,40,word
1281,intermediate,40,word
1282,simultaneous,40,word
1283,selective,40,word
1284,couple,40,word
1285,affirmative,40,word
1286,almost,39,word
1287,involve,39,word
1288,complex,39,word
1289,collection,39,word
1290,solve,39,word
1291,nation,39,word
1292,tfp,39,word
1293,bilateral,39,word
1294,compliance,39,word
1295,damage,39,word
1296,newly,39,word
1297,electoral,39,word
1298,correct,39,word
1299,offering,39,word
1300,temporary,39,word
1301,recovery,39,word
1302,diagnostic,39,word
1303,systematic,39,word
1304,necessary,39,word
1305,respect,39,word
1306,profile,39,word
1307,intensity,39,word
1308,weighted,39,word
1309,approximate,39,word
1310,vector,39,word
1311,managerial,39,word
1312,rare,39,word
1313,incarceration,39,word
1314,medicaid,39,word
1315,governance,39,word
1316,coalition,39,word
1317,markov,39,word
1318,bounded,38,word
1319,facing,38,word
1320,regional,38,word
1321,calibrate,38,word
1322,socioeconomic,38,word
1323,publication,38,word
1324,recommendation,38,word
1325,formula,38,word
1326,brazil,38,word
1327,interpretation,38,word
1328,avoid,38,word
1329,relational,38,word
1330,monotone,38,word
1331,claim,38,word
1332,cyclicality,38,word
1333,grade,38,word
1334,diversification,38,word
1335,developed,38,word
1336,ranking,38,word
1337,object,38,word
1338,wherea,38,word
1339,basic,38,word
1340,personality,38,word
1341,employed,38,word
1342,globalization,38,word
1343,robot,38,word
1344,book,38,word
1345,hard,38,word
1346,fit,38,word
1347,consume,38,word
1348,bubble,38,word
1349,gaussian,37,word
1350,guarantee,37,word
1351,intelligence,37,word
1352,religious,37,word
1353,clean,37,word
1354,coefficient,37,word
1355,democratic,37,word
1356,liability,37,word
1357,bailout,37,word
1358,worse,37,word
1359,growing,37,word
1360,minority,37,word
1361,step,37,word
1362,latent,37,word
1363,favor,37,word
1364,determined,37,word
1365,furthermore,37,word
1366,absence,37,word
1367,focusing,37,word
1368,demographic,37,word
1369,sum,37,word
1370,exclusion,37,word
1371,university,37,word
1372,amplify,37,word
1373,authority,37,word
1374,institutional,37,word
1375,discounting,36,word
1376,folk,36,word
1377,shed,36,word
1378,farm,36,word
1379,native,36,word
1380,panic,36,word
1381,neutral,36,word
1382,fee,36,word
1383,cohort,36,word
1384,message,36,word
1385,europe,36,word
1386,opinion,36,word
1387,pure,36,word
1388,expense,36,word
1389,crucial,36,word
1390,caused,36,word
1391,drop,36,word
1392,studying,36,word
1393,hire,36,word
1394,big,36,word
1395,nudge,36,word
1396,annual,36,word
1397,violation,36,word
1398,billion,36,word
1399,card,36,word
1400,parallel,36,word
1401,know,36,word
1402,pro,36,word
1403,worst,36,word
1404,hidden,36,word
1405,airline,36,word
1406,fire,36,word
1407,military,36,word
1408,combined,36,word
1409,entrepreneur,36,word
1410,basis,36,word
1411,old,36,word
1412,shadow,36,word
1413,salary,36,word
1414,taxable,36,word
1415,offset,36,word
1416,gang,36,word
1417,satisfy,35,word
1418,today,35,word
1419,trader,35,word
1420,schooling,35,word
1421,facilitate,35,word
1422,living,35,word
1423,cartel,35,word
1424,legal,35,word
1425,mexico,35,word
1426,incorporate,35,word
1427,image,35,word
1428,previously,35,word
1429,selected,35,word
1430,potentially,35,word
1431,renegotiation,35,word
1432,select,35,word
1433,incumbent,35,word
1434,concept,35,word
1435,manipulation,35,word
1436,deliver,35,word
1437,approximation,35,word
1438,credible,35,word
1439,stress,35,word
1440,protest,35,word
1441,enable,35,word
1442,congestion,35,word
1443,citation,35,word
1444,leadership,35,word
1445,generated,35,word
1446,rating,35,word
1447,upward,35,word
1448,accuracy,34,word
1449,late,34,word
1450,asymmetry,34,word
