PT,Author,BA,BE,GP,AF,BF,CA,Title,Journal,SE,BS,LA,Document_Type,CT,CY,CL,SP,HO,DE,ID,Abstract,C1,C3,RP,EM,RI,OI,FU,FP,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,Year,VL,IS,PN,SU,SI,MA,BP,EP,AR,DOI,DL,D2,EA,PG,WC,WE,SC,GA,PM,OA,HC,HP,DA,UT
J,"La Ferrara, E",,,,"La Ferrara, Eliana",,,THE ECONOMETRIC SOCIETY 2024 ANNUAL REPORT OF THE PRESIDENT,ECONOMETRICA,,,English,Article,,,,,,,,,,,,,,,,,,,0,0,0,0,6,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,MAY,2025,93,3,,,,,1105,1119,,10.3982/ECTA933PRES,http://dx.doi.org/10.3982/ECTA933PRES,,,15,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,3PR9X,,,,,2026-07-15,WOS:001506053200011
J,"Maskin, E; Saari, DG",,,,"Maskin, E.; Saari, D. G.",,,"Borda's Rule and Arrow's Independence Condition (vol 133, pg 385, 2025)",JOURNAL OF POLITICAL ECONOMY,,,English,Correction,,,,,,,,,,,,,,,,,,"Maskin E, 2025, J POLIT ECON, V133, P385, DOI 10.1086/732892; Saari DG, 2019, PUBLIC CHOICE, V179, P133, DOI 10.1007/s11127-018-0531-7",2,0,0,0,1,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,MAY 1,2025,133,5,,,,,1703,1703,,10.1086/735672,http://dx.doi.org/10.1086/735672,,MAY 2025,1,Economics,Social Science Citation Index (SSCI),Business & Economics,2EU4K,,,,,2026-07-15,WOS:001458781000001
J,European Summer Meeting,,,,European Summer Meeting,,,The Econometric Society Annual Reports Report of the Secretary,ECONOMETRICA,,,English,Article,,,,,,,,,,,,,,,,,,,0,0,0,0,7,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,JAN,2025,93,1,,,,,303,318,,10.3982/ECTA931SEC,http://dx.doi.org/10.3982/ECTA931SEC,,,16,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,U7V0I,,,,,2026-07-15,WOS:001413810900009
J,"Lipman, B",,,,"Lipman, Barton",,,The Econometric Society Annual Reports Report of the Treasurer,ECONOMETRICA,,,English,Article,,,,,,,,,,,,,,,,,,"[Anonymous], would like to thank Executive Director Lyn Hogan for her contributions to preparing this report.n2Total current assets include cash, investments, receivables, publication inventory, and other current assets.n1""Other admin"" contains office expenses, merchant services, bank charges, interest and penalties, staff travel.2By the end of the year, regional revenues and expenses or ""pass through"" income and expenses are reconciled with each meetingorganizer less 4.5% of credit card processing and banking fees and other incurred expenses.3The $20,000 annual World Congress contribution is set aside",1,0,0,1,5,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,JAN,2025,93,1,,,,,319,331,,10.3982/ECTA931TREAS,http://dx.doi.org/10.3982/ECTA931TREAS,,,13,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,U7V0I,,,,,2026-07-15,WOS:001413810900001
J,"Carneiro, P; Loken, K; Salvanes, KG",,,,"Carneiro, Pedro; Loken, Katrine; Salvanes, Kjell G.",,,"Still Flying: Reply to ""Not a Flying Start after All?"" by Lillebø et al.",JOURNAL OF POLITICAL ECONOMY,,,English,Article,,,,,,,MATERNITY LEAVE,,"[Carneiro, Pedro] UCL, Inst Fiscal Studies, Ctr Microdata Methods & Pract, London, England; [Carneiro, Pedro; Loken, Katrine; Salvanes, Kjell G.] Norwegian Sch Econ, Ctr Expt Res Fairness Inequal & Rat, Bergen, Norway",University of London; London School Economics & Political Science; University College London; Norwegian School of Economics (NHH),"Carneiro, P (corresponding author), UCL, Inst Fiscal Studies, Ctr Microdata Methods & Pract, London, England.; Carneiro, P (corresponding author), Norwegian Sch Econ, Ctr Expt Res Fairness Inequal & Rat, Bergen, Norway.",,,,,,,"[Anonymous], 2010, 5362 I LAB EC; Bütikofer A, 2021, AM ECON J-ECON POLIC, V13, P67, DOI 10.1257/pol.20190022; Carneiro P, 2015, J POLIT ECON, V123, P365, DOI 10.1086/679627; Carneiro Pedro, 2008, FLYING START MATERNI; Lillebo O., 2024, JPE, V132, pXXX; NOU (Norges Offentlige Utredninger), 1996, 199613 NOU; Schwartz Mariel, 2021, SPILLOVER EFFECTS MA; Statistics Norway, 1991, INTERNAL NOTE NO 911",8,1,1,0,3,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,DEC 1,2024,132,12,,,,,4213,4222,,10.1086/732220,http://dx.doi.org/10.1086/732220,,DEC 2024,10,Economics,Social Science Citation Index (SSCI),Business & Economics,O7Y2W,,Green Submitted,,,2026-07-15,WOS:001341675200001
J,[Anonymous],,,,[Anonymous],,,"Vintage-Specific Driving Restrictions (vol 87, pg 1646, 2020)",REVIEW OF ECONOMIC STUDIES,,,English,Correction,,,,,,,,,,,,,,,,,,"Barahona N, 2020, REV ECON STUD, V87, P1646, DOI 10.1093/restud/rdz031",1,0,0,0,5,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0034-6527,1467-937X,,REV ECON STUD,Rev. Econ. Stud.,NOV 8,2023,90,6,,,,,3343,3343,,10.1093/restud/rdad076,http://dx.doi.org/10.1093/restud/rdad076,,AUG 2023,1,Economics,Social Science Citation Index (SSCI),Business & Economics,CS2Q0,,Bronze,,,2026-07-15,WOS:001049626400001
J,"Kjelsrud, A; Kotsadam, A; Rogeberg, O",,,,"Kjelsrud, Anders; Kotsadam, Andreas; Rogeberg, Ole",,,Cooperative Property Rights and Development: Evidence from Land Reform in El Salvador: A Comment,JOURNAL OF POLITICAL ECONOMY,,,English,Article,,,,,,,,,"[Kjelsrud, Anders] Oslo Metropolitan Univ, Oslo Business Sch, Oslo, Norway; [Kotsadam, Andreas; Rogeberg, Ole] Frisch Ctr, Oslo, Norway",Oslo Metropolitan University (OsloMet),"Kjelsrud, A (corresponding author), Oslo Metropolitan Univ, Oslo Business Sch, Oslo, Norway.",,"Rogeberg, Ole/AGP-0153-2022",,,,,"Boberg-Fazlic N, 2022, J DEV ECON, V155, DOI 10.1016/j.jdeveco.2021.102813; Montero, 2019, VOXDEV 0429; Montero E, 2022, J POLIT ECON, V130, P48, DOI 10.1086/717042; Montero Eduardo, 2017, DEV IMPACT BLOG; Rao M, 2023, J ECON BEHAV ORGAN, V212, P708, DOI 10.1016/j.jebo.2023.06.002",5,2,3,2,25,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,AUG 1,2023,131,8,,,,,2276,2285,,10.1086/725235,http://dx.doi.org/10.1086/725235,,AUG 2023,10,Economics,Social Science Citation Index (SSCI),Business & Economics,P6TO5,,Green Submitted,,,2026-07-15,WOS:001024494800001
J,"Montero, E",,,,"Montero, Eduardo",,,"Cooperative Property Rights and Development: Evidence from Land Reform in El Salvador (vol 131, 10.1086/717042, 2023 )",JOURNAL OF POLITICAL ECONOMY,,,English,Correction,,,,,,,,,"[Montero, Eduardo] Univ Chicago, Chicago, IL 60637 USA",University of Chicago,"Montero, E (corresponding author), Univ Chicago, Chicago, IL 60637 USA.",,,,,,,"Kjelsrud Anders, 2023, JPE, V131, pXXX; Montero E, 2022, J POLIT ECON, V130, P48, DOI 10.1086/717042",2,1,2,0,9,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,AUG 1,2023,131,8,,,,,2286,2287,,10.1086/725234,http://dx.doi.org/10.1086/725234,,AUG 2023,2,Economics,Social Science Citation Index (SSCI),Business & Economics,P6TO5,,,,,2026-07-15,WOS:001024558500001
J,"Mogstad, M",,,,"Mogstad, Magne",,,"Inference for Ranks with Applications to Mobility across Neighbourhoods and Academic Achievement across Countries (Jan, rdad006, 2023)",REVIEW OF ECONOMIC STUDIES,,,English,Correction,,,,,,,,,,,,,,,,,,"Mogstad M, 2024, REV ECON STUD, V91, P476, DOI 10.1093/restud/rdad006",1,0,0,0,9,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0034-6527,1467-937X,,REV ECON STUD,Rev. Econ. Stud.,JAN 12,2024,91,1,,,,,595,595,rdad074,10.1093/restud/rdad074,http://dx.doi.org/10.1093/restud/rdad074,,JUL 2023,1,Economics,Social Science Citation Index (SSCI),Business & Economics,IR7X3,,Bronze,,,2026-07-15,WOS:001035397000001
J,"Matray, A; Boissel, C",,,,"Matray, Adrien; Boissel, Charles",,,"RETRACTION: Dividend Taxes and the Allocation of Capital (vol 113. pg. 2048, 2023) (Retraction of Vol 113, Pg 2048, 2023)",AMERICAN ECONOMIC REVIEW,,,English,Retraction,,,,,,,,,,,,amatray@princeton.edu,,,,,,"[Anonymous], 2015, Yagan, DOI [10.3886/E152002V1, DOI 10.3886/E152002V1]; Bach L, 2023, AM ECON REV, V113, P2048, DOI 10.1257/aer.20221432; Boissel C, 2022, AM ECON REV, V112, P2884, DOI 10.1257/aer.20210369",3,0,0,1,16,AMER ECONOMIC ASSOC,NASHVILLE,"2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA",0002-8282,1944-7981,,AM ECON REV,Am. Econ. Rev.,JUL,2023,113,7,,,,,2053,2054,,10.1257/aer.113.7.2053,http://dx.doi.org/10.1257/aer.113.7.2053,,,2,Economics,Social Science Citation Index (SSCI),Business & Economics,N0HL0,,,,,2026-07-15,WOS:001033929200010
J,[Anonymous],,,,[Anonymous],,,"Correction: regarding Article History dates for articles on journal Review of Economic Studies (vol 1, yr 2023)",REVIEW OF ECONOMIC STUDIES,,,English,Correction,,,,,,,,,,,,,,,,,,,0,0,3,1,8,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0034-6527,1467-937X,,REV ECON STUD,Rev. Econ. Stud.,SEP 5,2023,90,5,,,,,2674,2674,,10.1093/restud/rdad056,http://dx.doi.org/10.1093/restud/rdad056,,MAY 2023,1,Economics,Social Science Citation Index (SSCI),Business & Economics,AD8R1,,"Green Submitted, hybrid",,,2026-07-15,WOS:001116620600014
J,"Berger, D; Dew-Becker, I; Giglio, S",,,,"Berger, David; Dew-Becker, Ian; Giglio, Stefano",,,"Uncertainty Shocks as Second-Moment News Shocks (vol 87, pg 40, 2020)",REVIEW OF ECONOMIC STUDIES,,,English,Correction,,,,,,,,,,,,,,,,,,"Berger D, 2020, REV ECON STUD, V87, P40, DOI 10.1093/restud/rdz010",1,0,0,2,15,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0034-6527,1467-937X,,REV ECON STUD,Rev. Econ. Stud.,JUL 5,2023,90,4,,,,,2084,2084,,10.1093/restud/rdad050,http://dx.doi.org/10.1093/restud/rdad050,,MAY 2023,1,Economics,Social Science Citation Index (SSCI),Business & Economics,S0QU0,,Bronze,,,2026-07-15,WOS:000986695500001
J,"Citanna, A; Gottlieb, D; Siconolfi, P; Zhang, XT",,,,"Citanna, Alex; Gottlieb, Daniel; Siconolfi, Paolo; Zhang, Xingtan",,,"Long-Term Contracting With Time-Inconsistent Agents (vol 89, pg 793, 2021)",ECONOMETRICA,,,English,Correction,,,,,,,,,"[Citanna, Alex] NYU Abu Dhabi, Div Social Sci, Abu Dhabi, U Arab Emirates; [Gottlieb, Daniel] London Sch Econ, Dept Management, London, England; [Siconolfi, Paolo] Columbia Univ, Grad Sch Business, New York, NY USA; [Zhang, Xingtan] Univ Colorado Boulder, Leeds Sch Business, Boulder, CO USA",New York University; New York University Abu Dhabi; University of London; London School Economics & Political Science; Columbia University; University of Colorado System; University of Colorado Boulder,"Citanna, A (corresponding author), NYU Abu Dhabi, Div Social Sci, Abu Dhabi, U Arab Emirates.",ac6609@nyu.edu; d.gottlieb@lse.ac.uk; ps17@gsb.columbia.edu; xingtan.zhang@colorado.edu,"Zhang, Xingtan/AAE-4971-2021; Gottlieb, Daniel/MSW-5438-2025","Gottlieb, Daniel/0000-0002-0555-6185",,,,"Gottlieb D, 2021, ECONOMETRICA, V89, P793, DOI 10.3982/ECTA17126",1,0,0,0,10,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,MAY,2023,91,3,,,,,25,30,,10.3982/ECTA21301,http://dx.doi.org/10.3982/ECTA21301,,,6,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,G4QQ5,,hybrid,,,2026-07-15,WOS:000989023700002
J,"Enikolopov, R; Makarin, A; Petrova, M",,,,"Enikolopov, Ruben; Makarin, Alexey; Petrova, Maria",,,"SOCIAL MEDIA AND PROTEST PARTICIPATION: EVIDENCE FROM RUSSIA (vol 88, pg 1479, 2020)",ECONOMETRICA,,,English,Correction,,,,,,,,,"[Enikolopov, Ruben; Petrova, Maria] Univ Pompeu Fabra, Barcelona Inst Polit Econ & Governance, Barcelona Sch Econ, New Econ Sch, Moscow, Russia; [Makarin, Alexey] Einaudi Inst Econ & Finance EIEF, Sloan Sch Management, Cambridge, MA 02142 USA",New Economic School,"Enikolopov, R (corresponding author), Univ Pompeu Fabra, Barcelona Inst Polit Econ & Governance, Barcelona Sch Econ, New Econ Sch, Moscow, Russia.",ruben.enikolopov@upf.edu; makarin@mit.edu; maria.petrova@upf.edu,"/L-2921-2014; Enikolopov, Ruben/N-7403-2013; Makarin, Alexey/HLW-7598-2023",,,,,"Enikolopov Ruben, 2020, Econometrica, V88, P1479, DOI 10.3982/ECTA14281; Enikolopov R, 2023, ECONOMETRICA, V91, P1, DOI 10.3982/ECTA20824; FARRAR DE, 1967, REV ECON STAT, V49, P92, DOI 10.2307/1937887; Finlay K, 2009, STATA J, V9, P398, DOI 10.1177/1536867X0900900304; Olea JLM, 2013, J BUS ECON STAT, V31, P358, DOI 10.1080/00401706.2013.806694",5,2,2,0,21,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,MAY,2023,91,3,,,,,1,24,,10.3982/ECTA20824,http://dx.doi.org/10.3982/ECTA20824,,,24,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,G4QQ5,,hybrid,,,2026-07-15,WOS:000989023700001
J,"Frahm, G; Hartmann, L",,,,"Frahm, Gabriel; Hartmann, Lorenz",,,"Savage's P3 is Redundant (vol 88, pg 203, 2020)",ECONOMETRICA,,,English,Correction,,,,,,,,,"[Frahm, Gabriel] Helmut Schmidt Univ, Hamburg, Germany; [Hartmann, Lorenz] Univ Basel, Basel, Switzerland",Helmut Schmidt University; University of Basel,"Frahm, G (corresponding author), Helmut Schmidt Univ, Hamburg, Germany.",frahm@hsu-hh.de; lorenz.hartmann@unibas.ch,"; Hartmann, Lorenz/AAT-4827-2021","Frahm, Gabriel/0000-0001-7507-730X; Hartmann, Lorenz/0000-0003-1796-8264",,,,"Hartmann L, 2020, ECONOMETRICA, V88, P203, DOI 10.3982/ECTA17428; Savage J.L., 1954, FDN STAT",2,3,3,0,6,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,MAY,2023,91,3,,,,,33,33,,10.3982/ECTA21641,http://dx.doi.org/10.3982/ECTA21641,,,1,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,G4QQ5,,hybrid,,,2026-07-15,WOS:000989023700004
J,"Vayanos, D; Vila, JL",,,,"Vayanos, Dimitri; Vila, Jean-Luc",,,"A PREFERRED-HABITAT MODEL OF THE TERM STRUCTURE OF INTEREST RATES (vol 89, pg 77, 2021)",ECONOMETRICA,,,English,Correction,,,,,,,,,"[Vayanos, Dimitri] London Sch Econ, Dept Finance, CEPR, London, England; [Vayanos, Dimitri] NBER, Cambridge, MA 02138 USA; [Vila, Jean-Luc] Capula Investment Management, London, England",University of London; London School Economics & Political Science; Centre for Economic Policy Research - UK; National Bureau of Economic Research,"Vayanos, D (corresponding author), London Sch Econ, Dept Finance, CEPR, London, England.; Vayanos, D (corresponding author), NBER, Cambridge, MA 02138 USA.",d.vayanos@lse.ac.uk; JVila@capulaglobal.com,"Vayanos, Dimitri/AAW-9373-2021","Vayanos, Dimitri/0000-0002-0944-4914",,,,"Vayanos D, 2021, ECONOMETRICA, V89, P77, DOI 10.3982/ECTA17440",1,0,1,1,10,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,MAY,2023,91,3,,,,,31,32,,10.3982/ECTA21596,http://dx.doi.org/10.3982/ECTA21596,,,2,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,G4QQ5,,hybrid,,,2026-07-15,WOS:000989023700003
J,[Anonymous],,,,[Anonymous],,,JPE Turnaround Times,JOURNAL OF POLITICAL ECONOMY,,,English,Article,,,,,,,,,,,,,,,,,,,0,0,0,0,5,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,MAY 1,2023,131,5,,,,,1383,1383,,10.1086/725723,http://dx.doi.org/10.1086/725723,,,1,Economics,Social Science Citation Index (SSCI),Business & Economics,T8VK4,,,,,2026-07-15,WOS:001080705400009
J,"Nagy, DK",,,,"Nagy, David Krisztian",,,"Hinterlands, City Formation and Growth: Evidence from the U.S. Westward Expansion (JAN, rdad008, 2023)",REVIEW OF ECONOMIC STUDIES,,,English,Correction,,,,,,,,,,,,,"Nagy, David/A-6644-2017",,,,,"Nagy D, 2023, REV ECON STUD, V90, P3238, DOI 10.1093/restud/rdad008",1,2,4,5,38,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0034-6527,1467-937X,,REV ECON STUD,Rev. Econ. Stud.,JUL 5,2023,90,4,,,,,2083,2083,,10.1093/restud/rdad049,http://dx.doi.org/10.1093/restud/rdad049,,APR 2023,1,Economics,Social Science Citation Index (SSCI),Business & Economics,S0QU0,,Bronze,,,2026-07-15,WOS:000983254400001
J,[Anonymous],,,,[Anonymous],,,JPE Turnaround Times,JOURNAL OF POLITICAL ECONOMY,,,English,Article,,,,,,,,,,,,,,,,,,,0,0,0,0,0,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,APR 1,2023,131,4,,,,,1108,1108,,,,,,1,Economics,Social Science Citation Index (SSCI),Business & Economics,9HE2E,,,,,2026-07-15,WOS:001606256100007
J,[Anonymous],,,,[Anonymous],,,"RETRACTION: Growing up in a Recession (Retraction of Vol 81, Pg 787, 2014)",REVIEW OF ECONOMIC STUDIES,,,English,Retraction,,,,,,,,,,,,,,,,,,"2014, REV EC STUDIES, V81, P787",1,0,0,1,19,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0034-6527,1467-937X,,REV ECON STUD,Rev. Econ. Stud.,MAR 6,2023,90,2,,,,,1009,1009,,10.1093/restud/rdac085,http://dx.doi.org/10.1093/restud/rdac085,,JAN 2023,1,Economics,Social Science Citation Index (SSCI),Business & Economics,9S1JS,,Bronze,,,2026-07-15,WOS:000911767300001
J,"Gu, JY; Koenker, R",,,,"Gu, Jiaying; Koenker, Roger",,,"Reply to: Comments on ""Invidious Comparisons: Ranking and Selection as Compound Decisions """,ECONOMETRICA,,,English,Article,,,,,,,,,"[Gu, Jiaying] Univ Toronto, Dept Econ, Toronto, ON, Canada; [Koenker, Roger] UCL, Dept Econ, London, England",University of Toronto; University of London; University College London,"Gu, JY (corresponding author), Univ Toronto, Dept Econ, Toronto, ON, Canada.",jiaying.gu@utoronto.ca; r.koenker@ucl.ac.uk,,,,,,"Chetty R, 2018, Q J ECON, V133, P1107, DOI 10.1093/qje/qjy007; Chetty RajFriedman., 2018, OPPORTUNITY ATLAS MA, DOI [DOI 10.3386/W25147, 10.3386/w25147]; Gu JY, 2016, INT STAT REV, V84, P224, DOI 10.1111/insr.12098; HANNAN JF, 1955, ANN MATH STAT, V26, P37, DOI 10.1214/aoms/1177728591; LECAM L, 1990, INT STAT REV, V58, P153; Mogstad Magne., 2020, PREPRINT; Robbins Herbert, 1951, P 2 BERK S MATH STAT; Robbins Herbert., 1990, COMMUNICATION; SAMUEL E, 1965, J ROY STAT SOC B, V27, P238",9,0,0,0,8,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,JAN,2023,91,1,,,,,61,66,,10.3982/ECTA20537,http://dx.doi.org/10.3982/ECTA20537,,,6,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,D3EP9,,,,,2026-07-15,WOS:000967592600005
J,"Hirano, K",,,,"Hirano, Keisuke",,,"A COMMENT ON: ""Invidious Comparisons: Ranking and Selection as Compound Decisions"" by Jiaying Gu and Roger Koenker",ECONOMETRICA,,,English,Article,,,,,,,TREATMENT CHOICE; ASYMPTOTICS,,"[Hirano, Keisuke] Penn State Univ, Dept Econ, State Coll, PA 16801 USA",Pennsylvania Commonwealth System of Higher Education (PCSHE); Pennsylvania State University; Pennsylvania State University - University Park,"Hirano, K (corresponding author), Penn State Univ, Dept Econ, State Coll, PA 16801 USA.",kuh237@psu.edu,,,,,,"Athey S, 2021, ECONOMETRICA, V89, P133, DOI 10.3982/ECTA15732; Berger J.O., 1985, STAT DECISION THEORY, Vsecond, DOI DOI 10.1007/978-1-4757-4286-2; Chamberlain G., 2011, OXFORD HDB BAYESIAN, P11; Dehejia RH, 2005, J ECONOMETRICS, V125, P141, DOI 10.1016/j.jeconom.2004.04.006; Ferguson T.S., 1967, MATH STAT DECISION T; Hirano K, 2009, ECONOMETRICA, V77, P1683, DOI 10.3982/ECTA6630; Hirano Keisuke., 2016, JPN ECON REV, V67, P33; Kitagawa T, 2018, ECONOMETRICA, V86, P591, DOI 10.3982/ECTA13288; LeCam L., 1972, P 6 BERKELEY S MATH, V1, P245; Manski CF, 2004, ECONOMETRICA, V72, P1221, DOI 10.1111/j.1468-0262.2004.00530.x; Manski CF, 2021, ECONOMETRICA, V89, P2827, DOI 10.3982/ECTA17985; Savage L.J., 1972, FDN STAT; Stoye J, 2009, J ECONOMETRICS, V151, P70, DOI 10.1016/j.jeconom.2009.02.013; Tetenov A, 2012, J ECONOMETRICS, V166, P157, DOI 10.1016/j.jeconom.2011.06.013; VANDERVAART A, 1991, INT STAT REV, V59, P97, DOI 10.2307/1403577; WALD ABRAHAM, 1950",16,0,0,0,4,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,JAN,2023,91,1,,,,,43,46,,10.3982/ECTA20364,http://dx.doi.org/10.3982/ECTA20364,,,4,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,D3EP9,,Green Submitted,,,2026-07-15,WOS:000967592600002
J,"Kline, P",,,,"Kline, Patrick",,,"A Comment on: ""Invidious Comparisons: Ranking and Selection as Compound Decisions"" by Jiaying Gu and Roger Koenker",ECONOMETRICA,,,English,Article,,,,,,,FALSE DISCOVERY RATE,,"[Kline, Patrick] Univ Calif Berkeley, Dept Econ, Berkeley, CA 94720 USA; [Kline, Patrick] NBER, Cambridge, MA 02138 USA",University of California System; University of California Berkeley; National Bureau of Economic Research,"Kline, P (corresponding author), Univ Calif Berkeley, Dept Econ, Berkeley, CA 94720 USA.; Kline, P (corresponding author), NBER, Cambridge, MA 02138 USA.",pkline@econ.berkeley.edu,,,,,,"ANSCOMBE FJ, 1948, BIOMETRIKA, V35, P246, DOI 10.1093/biomet/35.3-4.246; Avivi H, 2021, AEA PAP P, V111, P43, DOI 10.1257/pandp.20211079; BARTLETT MS, 1947, BIOMETRICS, V3, P39, DOI 10.2307/3001536; Efron B, 2004, J AM STAT ASSOC, V99, P96, DOI 10.1198/016214504000000089; Efron B, 2016, BIOMETRIKA, V103, P1, DOI 10.1093/biomet/asv068; Fisher RA, 1922, J R STAT SOC, V85, P87, DOI 10.2307/2340521; Genovese C, 2002, J ROY STAT SOC B, V64, P499, DOI 10.1111/1467-9868.00347; Gu Jiaying., Invidious comparisons: Ranking and selection as compound decisions; Kline P, 2021, ECONOMETRICA, V89, P765, DOI 10.3982/ECTA17489; Kline PatrickM., 2021, Systemic discrimination among large US employers; Koenker Roger., 2020, EMPIRICAL BAYES CONF; Manski CF, 2021, ECONOMETRICA, V89, P2827, DOI 10.3982/ECTA17985; Maxwell Nan., 2013, USING ADM DATA ADDRE; Nunley JM, 2015, BE J ECON ANAL POLI, V15, P1093, DOI 10.1515/bejeap-2014-0082; Storey JD, 2003, ANN STAT, V31, P2013, DOI 10.1214/aos/1074290335",15,0,0,0,6,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,JAN,2023,91,1,,,,,47,52,,10.3982/ECTA20322,http://dx.doi.org/10.3982/ECTA20322,,,6,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,D3EP9,,,,,2026-07-15,WOS:000967592600003
