Rank,Term,Frequency,Type
304,low income student,14,phrase
305,taken together,14,phrase
306,dynamic general equilibrium,14,phrase
307,null hypothesis,14,phrase
308,local labour market,14,phrase
309,self esteem,14,phrase
310,saharan africa,13,phrase
311,sub saharan,13,phrase
312,real interest rate,13,phrase
313,monetary policy surprise,13,phrase
314,subgame perfect,13,phrase
315,policy fiscal policy,13,phrase
316,interest rate parity,13,phrase
317,real exchange rate,13,phrase
318,deceased donor,12,phrase
319,monetary policy fiscal,12,phrase
320,monetary policy business,12,phrase
321,policy business cycle,12,phrase
322,business cycle monetary,12,phrase
323,mobility united state,12,phrase
324,long run risk,12,phrase
325,monetary policy interest,11,phrase
326,policy interest rate,11,phrase
327,deferred acceptance,11,phrase
328,commuting zone,11,phrase
329,reserve interest rate,11,phrase
330,cycle monetary policy,11,phrase
331,price monetary policy,10,phrase
332,monetary policy risk,10,phrase
333,mechanism design information,10,phrase
334,sierra leone,10,phrase
335,labour market friction,10,phrase
336,rate monetary policy,10,phrase
337,vice versa,10,phrase
338,health insurance adverse,10,phrase
339,labor market policy,10,phrase
340,monetary policy capital,10,phrase
341,newly digitized,10,phrase
342,property right land,10,phrase
343,labor market return,10,phrase
