Title,Abstract,Year,Author,Keywords,Journal,CLC,Removal_Reason
对中国金融法监管体系构建的镜鉴——评《国际金融监管法律冲突研究》一书,"在全球经济百年未有之大变局的背景下,国际金融市场日趋复杂和动荡,迫切需要通过监管体系的构建与完善来保障金融市场的稳定和安全,进而推动社会经济的健康运行。由吴永辉编著的《国际金融监管法律冲突研究》一书基于经济全球化的社会背景探讨了新时代国际金融监管实践中存在的冲突现象,并在公法冲突的研究范式下探索解决国际金融监管法律之间的冲突问题,提出了协调实体法、冲突法和程序法的进路安排,以更好地处理国际金融监管中的法律冲突问题,合理管控跨国金融风险,维护国际金融稳定。",2025,叶勇飞,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
高校体育资源与体育产业的联动发展——评《高校体育产业高质量发展研究》一书,"体育强国既包括更好、更快、更高、更强的竞技体育,也包括更亲民、更便利、更普及的全民健身,同时离不开更大、更活、更优的体育产业。体育产业不仅为开展各项体育活动提供必要的物质基础,还为体育科技创新、体育文化传播提供重要的产业载体。各类体育赛事都离不开体育产业的强力支持,世锦赛等顶尖体育赛事更是体育产业的盛宴。",2025,龚其超,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
深耕百年金融沃土铸就一流学科新篇——西南财经大学金融学院、中国金融研究院简介,"西南财经大学金融学院、中国金融研究院顺应新时代金融学科发展新趋势和金融行业发展新需求,按照“两种建制、一体建设”的思路,于2022年在原金融学院、保险学院、证券与期货学院、中国金融研究中心、金融研究院等单位基础上合并组建而成,以崭新的面貌聚合金融学科资源,全力打造金融学科新高地。",2025,,,管理世界,,缺少作者，通常为公告、宣传或编辑性记录
新质生产力赋能农村经济高质量发展——评《新质生产力赋能新型农村集体经济高质量发展研究》,"乡村振兴战略的实施已步入全面发展阶段,而乡村经济振兴作为乡村全面振兴的重要抓手,需进一步实现高质量发展。与此同时,在全球新一轮科技革命和产业变革深入发展的当下,新质生产力作为推动经济高质量发展的重要力量,正以前所未有的速度和力度重塑各个领域的发展格局。",2025,龙力涛;龙方,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
文化产业金融支持体系构建与创新路径研究——评《文化产业跨要素融合与金融资本支持研究》,"文化及其创意产业是高附加值产业,能够促进宏观经济发展、引领大众消费,是满足人民日益增长的美好生活需要的重要载体。由姬新龙撰写的《文化产业跨要素融合与金融资本支持研究》一书,以文化产业价值评估及文化产业跨要素融合为出发点,深入探讨了文化产业融合发展的路径模式及与金融资本有效对接的方式,设计了资本进入和退出文化产业投资业态的有效路径,多维度剖析了文化产业的融合态势及金融支持模式,以推动文化产业融合发展。",2025,赵琦,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
数字经济对农村劳动力非农就业的影响——评《数字经济对农村劳动力非农就业的影响研究》,"近年来,以数字化、信息化、网络化、智能化等为特点的数字经济对经济社会发展的影响日益凸显。由田鸽著写的《数字经济对农村劳动力非农就业的影响研究》一书,在充分挖掘数字经济丰富内涵的基础上,证实了数字经济在提高农村劳动力非农就业量、推动城镇化发展方面扮演的重要角色,进一步分析了数字经济对促进城镇化发展过程中的有效社会分工形成和优化农村劳动力非农就业结构的重要作用。本书的研究既是对现有的关于信息化、网络化等经济效应研究的拓展,又为实施相关政策以进一步促进数字经济发展,着力保障数字经济促进不同技能农村劳动力从事不同类型非农工作提供了理论支撑,因而具有重要的学术和政策价值。",2025,罗吉;王亚华,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
大数据时代工商管理方法与实践探究——评《工商管理理论与实践研究》,"大数据时代的到来,对工商管理带来了深刻的变革。信息技术迅猛发展,海量数据不断产生,由此对数据的处理能力也显著提升,企业在管理决策、市场分析和客户关系等方面面临新的机遇与挑战。数据的爆炸性增长源于互联网的普及、物联网的兴起以及移动设备的广泛应用,使企业能够通过各种渠道收集到丰富的数据,包括客户行为、市场趋势和竞争态势等。",2025,张旭亮;傅泽,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
北京工商大学经济学院简介,"北京工商大学是北京市高水平研究型大学,由原国内贸易部直属的北京商学院和原轻工业部直属的北京轻工业学院于1999年6月合并组建而成。现已发展成为理、工、经、管、法、文、艺等学科相互支撑、协调发展的多科性大学。北京工商大学经济学院起源于原北京商学院商业经济系,1960年开始招收本科生,1981年成为全国首批硕士学位授权单位。应用经济学入选北京高校高精尖学科,应用经济学、产业经济学为北京市重点建设学科。",2025,,,管理世界,,缺少作者，通常为公告、宣传或编辑性记录
第八届张培刚发展经济学青年学者奖评选公告,"为促进中国经济学学术进步,推动经济学学科建设,鼓励经济学青年人才的成长,提高中国经济研究水平,张培刚发展经济学研究基金会(以下简称基金会)特设立“张培刚发展经济学青年学者奖”。张培刚发展经济学青年学者奖每年评选一届,坚持公开、公平、公正的原则,重在鼓励和支持在发展经济学及相关领域拥有创新性的学术研究成果并且具有较强科研潜力的中国青年经济学者。本奖项评选不收取任何费用。",2025,,,经济研究,,缺少作者，通常为公告、宣传或编辑性记录
乡村振兴战略下农村金融服务发展探究——评《金融支持新型农业经营主体模式研究》,"新型农业经营主体是建设现代农业的新生力量,其培育和发展离不开金融资本的支撑。在《管理世界》杂志2024年第10期上,由刘晨冉等撰写的《小农户与现代农业衔接的机制和关键因素研究》一文,引用了李志平、郭沛等主编的《金融支持新型农业经营主体模式研究》一书,该书全面分析了我国当前金融支持新型农业经营主体的供给与需求情况,及时总结各地的典型模式和做法,系统梳理我国金融支农的政策措施,并在借鉴国际组织和有关国家相关经验的基础上,提出完善我国金融支持新型农业经营主体模式的政策建议,旨在为“十四五”期间提升我国金融高质量支持新型农业经营主体发展提供思路。",2025,李明锡;曾梦晴,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
构建科学规范的财政支出政策绩效评价体系——评《财政支出政策绩效评价》,"如何对财政支出政策实施效果进行衡量与优化是国内外财政改革研究的重要课题。由施青军著的《财政支出政策绩效评价》一书着眼于新时代政策评价体系的建构与完善,以促进财政支出政策绩效评价中价值理想与工具理性的统一。在该书中,作者运用绩效原理分析了财政支出政策评价的概念、原理、原则以及评价的程序、方法等,并通过多元化的政策绩效评价方法,如观察法、专家评判法、成本—效益分析法等,提升财政支出政策绩效评价的科学性和有效性。",2025,刘家庆;魏玮,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
《经济研究》连续荣获“中国最具国际影响力学术期刊”,"中国知网和清华大学图书馆自2012年起连续11年联合研制《中国学术期刊国际引证年报》(简称《国际年报》),通过统计国际期刊对中国期刊的引用,客观反映我国学术期刊在国际学术研究领域的话语实情。通过连续多年的统计与遴选,《国际年报》及国际影响力TOP期刊品牌已经得到期刊界和科研管理部门的广泛认同,在助力中国期刊走向国际舞台、树立国际学术品牌和文化自信方面发挥了积极的、重要的作用。",2023,,,经济研究,,缺少作者，通常为公告、宣传或编辑性记录
《管理世界》经济研究院招聘研究人员和实习生,"《管理世界》经济研究院是经国务院发展研究中心和原国家工商管理总局批准,由管理世界杂志社出资成立的集研究、咨询、培训于一体的新型智库。现根据工作需要,招聘研究人员和实习生。一、招聘岗位及任职条件(一)招聘岗位1.研究人员。从事公共政策评估、营商环境评价、公共卫生与健康管理等领域的研究工作,撰写研究报告及项目组织协调和管理工作。2.实习生。从事相关领域研究、会务等工作。(二)报名条件1.具有中华人民共和国国籍,遵守中华人民共和国宪法和法律;",2023,,,管理世界,,缺少作者，通常为公告、宣传或编辑性记录
以中国式现代化推进中华民族伟大复兴——学习贯彻党的二十大精神笔谈(下),"中国共产党第二十次全国代表大会,是在全党全国各族人民迈上全面建设社会主义现代化国家新征程、向第二个百年奋斗目标进军的关键时刻召开的一次十分重要的大会。本次大会提出,科学社会主义在二十一世纪的中国焕发出新的蓬勃生机,中国式现代化为人类实现现代化提供了新的选择,中国共产党和中国人民为解决人类面临的共同问题提供更多更好的中国智慧、中国方案、中国力量,为人类和平与发展崇高事业作出新的更大的贡献!大会同时提出,从现在起,中国共产党的中心任务就是团结带领全国各族人民全面建成社会主义现代化强国、实现第二个百年奋斗目标,以中国式现代化全面推进中华民族伟大复兴。中国式现代化的本质要求是:坚持中国共产党领导,坚持中国特色社会主义,实现高质量发展,发展全过程人民民主,丰富人民精神世界,实现全体人民共同富裕,促进人与自然和谐共生,推动构建人类命运共同体,创造人类文明新形态。为深入学习贯彻党的二十大精神,本刊特邀请国内部分经济学家围绕“以中国式现代化推进中华民族伟大复兴”撰写笔谈文章,分两期发表,以飨读者。",2022,刘伟;裴长洪;樊纲;潘家华;王国刚;李海舰;田国强,,经济研究,,笔谈、书评、序言、访谈或综述等非论文体裁
第六届“期刊主题宣传好文章”活动《经济研究》所载《新发展格局的理论逻辑、战略内涵与政策体系——基于经济现代化的视角》入选,"由中宣部出版局主办、中国期刊协会承办的第六届“期刊主题宣传好文章”推荐活动(2022年度)结果在京揭晓,《新发展格局的理论逻辑、战略内涵与政策体系——基于经济现代化的视角》(黄群慧,《经济研究》2021年第4期)在本届活动中入选。“期刊主题宣传好文章”推荐活动旨在引导广大期刊坚持高质量办刊方向,推出主题宣传精品,有力服务党和国家工作大局。本届活动推荐文章的原则是,深入宣传阐释习近平新时代中国特色社会主义思想,深入宣传党的百年奋斗辉煌历程和宝贵经验,生动反映新时代的伟大变革,深入解读中国式现代化等理论创新成果,做好党史、新中国史、改革开放史、社会主义发展史宣传,生动反映英雄模范感人事迹,大力弘扬中华优秀传统文化,有深度、有温度、有品质、接地气,为营造良好社会舆论氛围做出积极贡献。",2022,,,经济研究,,缺少作者，通常为公告、宣传或编辑性记录
北京邮电大学经济管理学院诚邀海内外英才加盟,"北京邮电大学经济管理学院的前身是1955年建校时成立的三大系之一的工程经济系,经过六十余年的建设与发展,形成了信息通信背景浓郁,学科专业特色鲜明的多层次学科与专业布局。学院设有管理科学与工程一级学科博士点和博士后科研流动站;管理科学与工程、工商管理、应用经济学、公共管理四个一级学科硕士点;工商管理硕士、工程管理硕士、国际商务硕士、会计硕士、公共管理硕士五个专业学位硕士点;大数据管理与应用、金融科技、工商管理(智能化与创新管理)、公共事业管理(智慧城市与计算社会科学)四个本科专业;",2022,,,经济研究,,缺少作者，通常为公告、宣传或编辑性记录
对外经济贸易大学国际商学院四十周年院庆公告,"初心如磐四十载,奋楫笃行新时代。2022年12月,对外经济贸易大学国际商学院即将迎来四十华诞,在此谨向多年来关心支持学院建设和发展的各级领导、广大校友和各界人士,致以最衷心的感谢和最崇高的敬意!四十年初心不改,荜路蓝缕谱华章。对外经济贸易大学国际商学院始建于1982年,前身为国际经济管理系,1994年更名为国际工商管理学院,2005年更名为国际商学院,是国内最早引进西方工商管理教育体系的学院。回首往昔,四十年筚路蓝缕,国际商学院一直继承和发扬贸大的光荣传统,秉承着贸大“博学、诚信、求索、笃行”的校训,",2022,,,管理世界,,缺少作者，通常为公告、宣传或编辑性记录
以中国式现代化推进中华民族伟大复兴——学习贯彻党的二十大精神笔谈(上),"中国共产党第二十次全国代表大会,是在全党全国各族人民迈上全面建设社会主义现代化国家新征程、向第二个百年奋斗目标进军的关键时刻召开的一次十分重要的大会。本次大会提出,科学社会主义在二十一世纪的中国焕发出新的蓬勃生机,中国式现代化为人类实现现代化提供了新的选择,中国共产党和中国人民为解决人类面临的共同问题提供更多更好的中国智慧、中国方案、中国力量,为人类和平与发展崇高事业作出新的更大的贡献!大会同时提出,从现在起,中国共产党的中心任务就是团结带领全国各族人民全面建成社会主义现代化强国、实现第二个百年奋斗目标,以中国式现代化全面推进中华民族伟大复兴。中国式现代化的本质要求是:坚持中国共产党领导,坚持中国特色社会主义,实现高质量发展,发展全过程人民民主,丰富人民精神世界,实现全体人民共同富裕,促进人与自然和谐共生,推动构建人类命运共同体,创造人类文明新形态。为深入学习贯彻党的二十大精神,本刊特邀请国内部分经济学家围绕“以中国式现代化推进中华民族伟大复兴”撰写笔谈文章,分两期发表,以飨读者。",2022,蔡昉;江小涓;黄泰岩;魏后凯;韩保江;戚聿东;洪永淼,,经济研究,,笔谈、书评、序言、访谈或综述等非论文体裁
对外经济贸易大学国际商学院四十周年院庆公告,"初心如磐四十载,奋楫笃行新时代。2022年12月,对外经济贸易大学国际商学院即将迎来四十华诞,在此谨向多年来关心支持学院建设和发展的各级领导、广大校友和各界人士,致以最衷心的感谢和最崇高的敬意!四十年初心不改,筚路蓝缕谱华章。对外经济贸易大学国际商学院始建于1982年,前身为国际经济管理系,1994年更名为国际工商管理学院,2005年更名为国际商学院,是国内最早引进西方工商管理教育体系的学院。",2022,,,管理世界,,缺少作者，通常为公告、宣传或编辑性记录
第六届张培刚发展经济学青年学者奖评选公告,"为促进中国经济学学术进步,推动经济学学科建设,鼓励经济学青年人才的成长,提高中国经济研究水平,张培刚发展经济学研究基金会(以下简称基金会)特设立“张培刚发展经济学青年学者奖”。张培刚发展经济学青年学者奖每年评选一届,坚持公开、公平、公正的原则,重在发现和表彰在发展经济学及相关领域拥有创新性的学术研究成果并且具有较强科研潜力的中国青年经济学者。本奖项评选不收取任何费用。根据《张培刚发展经济学青年学者奖评奖条例》的规定,第六届张培刚发展经济学青年学者奖评选工作于2023年1月启动。",2022,,,经济研究,,缺少作者，通常为公告、宣传或编辑性记录
第九届张培刚发展经济学优秀成果奖第五届张培刚发展经济学青年学者奖颁奖典礼暨“中国式现代化新道路与经济高质量可持续发展”论坛公告,"第九届张培刚发展经济学优秀成果奖和第五届张培刚发展经济学青年学者奖结果现已产生。特公告如下:1.第九届张培刚发展经济学优秀成果奖获奖作品名单(按获奖作品第一作者姓氏拼音排序):颁奖典礼将于2022年10月7日在华中科技大学隆重举行,同期还将举办“中国式现代化新道路与经济高质量可持续发展”论坛。中国式现代化是习近平新时代中国特色社会主义思想的主体内容,是中国共产党在持续探索中形成的关于中国经济发展的核心认知。习近平总书记在党的十九届五中全会第二次全体会议上的重要讲话中,",2022,,,经济研究,,缺少作者，通常为公告、宣传或编辑性记录
革命者·经济学家·经济工作领导人——《薛暮桥年谱:1904—1952》序言,"本文为国务院发展研究中心委托研究项目成果《薛暮桥年谱:1904—1952》一书序言。作者指出,在薛暮桥的一生中,革命者、经济学家和经济工作领导人3个身份最为重要。作为革命者,薛暮桥年轻时代即有直面死亡的体验,这使得他能不避艰危,在困难条件下独立工作和思考,革命者身份还成为他参与核心决策的必要条件。作为经济学家,薛暮桥毕生以中国经济问题为主要研究对象,强调理论联系实际,并以改进社会为主要宗旨。作为经济工作领导人,薛暮桥在山东根据地主持对敌货币战卓有成就,在西柏坡协助周恩来处理解放战争时期的财经、后勤工作,从1947~1967年,他一直在中央财经机关工作,领导工商业调整,创立全国统一的统计体系,建立物价管理体制。改革开放后,薛暮桥创立我国经济决策咨询事业,并在市场化改革方面做出卓越贡献。",2022,范世涛;薛小和,薛暮桥;年谱;革命者;经济学家;经济工作领导人,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
中国信息经济学乌家培资助计划简介,"中国信息经济学会成立于1989年,致力在信息经济与信息管理领域搭建理论创新的桥梁,推动跨学科发展。学会创始人乌家培教授为中国著名经济学家,中国数量经济学会和信息经济学会创始人。为促进中国信息经济与信息管理领域的青年学者成长,并产生未来30年有国际影响力的理论创新成果,学会于2015年设立“中国信息经济学乌家培资助计划”,以表彰中国信息经济与信息管理领域青年学者的理论创新贡献。2016-2021年分别进行了第一至六届乌家培资助计划的评选。",2022,,,经济研究,,缺少作者，通常为公告、宣传或编辑性记录
孙冶方经济科学奖第二十届(2022年度)评奖公告,"根据《孙冶方经济科学基金会章程》规定,孙冶方经济科学奖第二十届(2022年度)评奖工作将于2022年底启动。孙冶方经济科学奖是我国经济学界享有盛誉的经济学奖项。评奖旨在传承和弘扬以孙冶方为代表的老一辈经济学家敬畏规律、守护真理的学术精神,为国为民、甘于奉献的学术立场,不断探索、勇于创新的学术品格,引领学术研究方向,助力中国经济学研究的发展和提升。本届评奖对象是1979年至2021年12月底经济理论工作者和实际工作者,在国内外公开发表的论文和出版的专著。",2022,,,经济研究,,缺少作者，通常为公告、宣传或编辑性记录
云南财经大学财政与公共管理学院诚聘英才,"云南财经大学财政与公共管理学院秉承“好学笃行、厚德致远”的云财校训,发扬“自强不息、敢为人先”的云财精神,以“立德树人”为目标,以培养“公共精神”和服务“国家治理”为己任,不断推进学院建成全国有较大影响、西部地区领先、辐射南亚东南亚的财政税收、公共管理和社会治理“三位一体”协同发展的高水平学院。学院已经形成完整的“本-硕-博”人才培养体系。拥有财政学、税收学、行政管理、公共事业管理、劳动与社会保障、政治学与行政学6个本科专业,其中:财政学入选国家一流本科专业建设点,税收学、行政管理、",2022,,,管理世界,,缺少作者，通常为公告、宣传或编辑性记录
深入学习贯彻习近平总书记重要讲话精神加快构建中国特色经济学体系,"2016年5月17日,习近平总书记主持召开哲学社会科学工作座谈会并发表重要讲话,提出着力构建中国特色哲学社会科学,在指导思想、学科体系、学术体系、话语体系等方面充分体现中国特色、中国风格、中国气派。2022年4月25日,习近平总书记在中国人民大学考察时强调,加快构建中国特色哲学社会科学,归根结底是建构中国自主的知识体系。为深入学习贯彻习近平总书记重要讲话精神,推动构建中国特色经济学体系,2022年5月17日管理世界杂志社组织召开“加快构建中国特色经济学体系”研讨会(笔谈)。来自国内高校、科研机构的26位知名经济学家参加研讨。现将有关文章刊登如下,以飨读者。",2022,高培勇;樊丽明;洪银兴;韩保江;吕炜;白重恩;洪永淼;蔡继明;寇宗来;黄群慧;刘元春;刘尚希;杨灿明;龚六堂;刘守英;陈斌开;郭凯明;金碚;李曦辉;刘秉镰;陆铭;洪俊杰;刘锡良;陈诗一,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
中国信息经济学乌家培资助计划简介,"中国信息经济学会成立于1989年,致力在信息经济与信息管理领域搭建理论创新的桥梁,推动跨学科发展。学会创始人乌家培教授为中国著名经济学家,中国数量经济学会和信息经济学会创始人。为促进中国信息经济与信息管理领域的青年学者成长,并产生未来30年有国际影响力的理论创新成果,学会于2015年设立“中国信息经济学乌家培资助计划”,以表彰中国信息经济与信息管理领域青年学者的理论创新贡献。2016-2021年分别进行了第一至六届乌家培资助计划的评选。",2022,,,经济研究,,缺少作者，通常为公告、宣传或编辑性记录
孙冶方经济科学奖第二十届(2022年度)评奖公告,"根据《孙冶方经济科学基金会章程》规定,孙冶方经济科学奖第二十届(2022年度)评奖工作将于2022年底启动。孙冶方经济科学奖是我国经济学界享有盛誉的经济学奖项。评奖旨在传承和弘扬以孙冶方为代表的老一辈经济学家敬畏规律、守护真理的学术精神,为国为民、甘于奉献的学术立场,不断探索、勇于创新的学术品格,引领学术研究方向,助力中国经济学研究的发展和提升。本届评奖对象是1979年至2021年12月底经济理论工作者和实际工作者,在国内外公开发表的论文和出版的专著。",2022,,,经济研究,,缺少作者，通常为公告、宣传或编辑性记录
中国信息经济学乌家培资助计划简介,"中国信息经济学会成立于1989年,致力在信息经济与信息管理领域搭建理论创新的桥梁,推动跨学科发展。学会创始人乌家培教授为中国著名经济学家,中国数量经济学会和信息经济学会创始人。为促进中国信息经济与信息管理领域的青年学者成长,并产生未来30年有国际影响力的理论创新成果,学会于2015年设立“中国信息经济学乌家培资助计划”,以表彰中国信息经济与信息管理领域青年学者的理论创新贡献。2016-2021年分别进行了第一至六届乌家培资助计划的评选。",2022,,,经济研究,,缺少作者，通常为公告、宣传或编辑性记录
