Title,Abstract,Year,Author,Keywords,Journal,CLC,Record_ID
中国式现代化对现代性的超越,"现代性是西方国家在推进现代化进程中构建起的一整套价值理念,是现代化不同阶段所蕴含的内在精神。西方资本主义国家由于率先进行思想启蒙和工业革命,因而取得了优先定义现代化、现代性的话语权。中国式现代化作为一种新的现代性构建方案,摆脱对现代性的“依赖或脱钩”迷思,合理借鉴发扬现代性的科学与创新、民主、自由、平等与开放精神,又辩证地扬弃了现代性的西方中心主义偏见、制度偏见、价值偏见及生态非正义性等消极因素,自主探索出一条后发国家赶超型现代化的新道路。作为中国特色社会主义的新型现代化,中国式现代化从理论逻辑、价值逻辑、制度逻辑与生态文明等维度重新定义了现代化,实现了对现代性的解构与超越,打破了“现代化=西方化”的单一现代化叙事模式,展现了不同于西方现代化模式的新图景。",2025,李包庚,现代性;现代化;中国式现代化;资本主义;人类文明新形态,中国社会科学,,CSS_b12fe70c06a8
从“边城”建设到“环海边城链”——西亚北非城市带生成的历史源流,"在西亚北非沿线地区存在一条若隐若现的丝路城市带。这些城市构成了从北非沿海到西亚海滨的“环海边城链”,甚至深入至中亚腹地。阿拉伯帝国的边城起源可追溯至希腊化时期,受到了亚历山大希腊化城市、塞琉古商业—军事城邦、帕提亚自治城市以及萨珊王城的影响。边城是随着阿拉伯帝国的征服运动、为服务于帝国的军事扩张而出现的,其发展共分为两个阶段,即欧麦尔时期和奥斯曼之后的伍麦叶哈里发时期。这些城市在丝路贸易的联结和地方政权的支持下形成了一条横贯亚非大陆的城市带,由此构成了现代中亚、西亚和北非城市带的雏形和丝路城市文明的起源。商旅和学者以沿线城市为基地从事跨境贸易和文化交流,使得许多城市的经济和学术中心地位一直维持到现代,至今仍是所在国的历史文化名城。",2025,韩志斌;马峥嵘,西亚北非;丝路城市带;边城;边城体系;环海边城链,中国社会科学,,CSS_1b7de9af2fb0
通用人工智能时代的国际权力重塑,"生成式人工智能大模型技术不断突破,特别是开源模型引领的低成本、本地化垂端部署趋势,预示着通用人工智能(AGI)技术时代的开启。与以往任何技术不同,AGI将通过自主学习真正实现技术自创生,引发全球生产力与生产关系深刻而彻底的变革;凭借其高度通用性和跨域融合能力,在多个维度重塑国际权力结构,并引发传统意义上的国家间相互依赖关系发生变化。AGI极高的技术壁垒还将进一步增强全球权力的非对称性,带来国际权力结构出现新“极化”的潜在风险。尽管AGI的技术边界尚未明确,但因其强大的跨域融合能力,伴随其演进过程,开源与闭源人工智能技术生态之间的竞争将持续存在。与此同时,AGI所带来的技术复杂性和不确定性,将推动国际权力结构的深刻变革,并引发未来国际关系的“大转型”。",2025,余南平,通用人工智能(AGI);国际权力;技术自创生;技术复杂性;开源与闭源大模型,中国社会科学,,CSS_6b3c7cce20b9
智能时代的社会基本矛盾与社会发展动力,"人工智能作为一种革命性、颠覆性的高新技术,正在快速发展并广泛应用于经济、社会各个领域,掀起了一场空前的产业革命和社会变革,彻底改造、重塑了整个社会的基本面貌和形态。智能生产力的快速创新发展,驱动新型技术社会形态——智能社会——加速成型,但建基于工业社会的资本主义生产关系日益落后于智能生产力的发展水平,并进一步导致上层建筑体系越来越不适应经济基础的发展状况,反过来又严重地阻碍了智能生产力和智能社会的发展。解决智能时代的社会基本矛盾,需要在大力发展智能生产力的基础上,建立新型生产关系使之适应智能生产力的发展水平,变革上层建筑使之适应经济基础的发展状况,从而将智能社会的社会基本矛盾转化为强大的社会发展动力,推动智能社会的发展走上“快车道”,为新型的经济社会形态——共产主义社会——的到来奠定基础、创造条件。",2025,孙伟平,智能社会;智能生产力;社会基本矛盾;社会发展动力;共产主义社会,中国社会科学,,CSS_5a2f2735655d
行政规章与合同效力的关系,"排除行政规章对合同效力的适用是我国长期坚持的合同效力认定标准。但是,将行政规章的强制性规定也作为认定合同效力的法律依据才是正确的选择,这是民法典与其他法源协同治理复杂社会的必然。我国关于合同效力认定法律依据的规定存在冲突。允许适用作为非正式法源的习惯却排除适用作为正式法源的行政规章,违反了法源体系的位阶原则。允许适用公序良俗一般条款却排除适用行政规章具体条款,违反了“不得向一般条款逃逸”的法律适用基本原则。较为稳妥的方案是,不但将行政规章作为合同效力认定依据,而且将认定合同效力依据的“法律”范围扩大到《立法法》圈定的法律范围。",2025,梁上上,合同效力;行政规章;善良风俗;法源位阶;法律适用,中国社会科学,,CSS_de2349f7e11d
人工智能法律治理的路径拓展,"人工智能的法律治理正处在规则形成期。基于风险的法律治理路径的“简单化”与人工智能法律治理需求“复杂化”存在矛盾,我国既有立法实践进行的本土化改良仍无法克服其固有局限。随着我国人工智能法律治理进入系统集成阶段,围绕实现人工智能高质量发展和高水平安全良性互动的治理主旨,要引入适应性治理理念统筹安全发展,应对人工智能多重属性构成复杂系统的治理需求,并高度容纳技术发展的不确定性和未知前景。在此基础上构建具有适应性的人工智能法律治理框架、方案、工具,拓展形成符合我国本土制度环境、技术产业基础与发展目标的法律治理路径。",2025,张凌寒,人工智能立法;人工智能风险;分级分类;关键人工智能;适应性治理,中国社会科学,,CSS_860827cf7faa
超越项目制:中央倡导型政策试点的运行逻辑及制度基础,"党的十八大以来,中央不断完善现代财政体制并严格控制专项转移支付项目,以专项财政资金纵向配置为核心的项目制受到限制。在直接预算分配权受到约束的背景下,商务部等中央部门积极探索出一种不同于项目制的倡导型政策试点模式。该模式通过跨层级条块动员、全过程试点督导、诱致型创新支持等治理机制,成功解决地方试点激励不足、中央和地方试点信息不对称及试点创新能力不足问题,推动跨层级协同治理并顺利完成试点任务。倡导制对项目制的超越,是党的十八大以来国家治理模式重塑的结果,其最终成型,离不开中央有效调动地方政府与市场主体的积极性,实现“有效市场和有为政府”相结合。未来,中央倡导型试点或将与项目制并列共存、混合使用,并形成“中央倡导+省市项目制+基层治理”的纵向府际分工新形态。",2025,邱毅;郁建兴;叶志鹏,政策试点;倡导制;项目制;预算分配权;跨层级协同治理,中国社会科学,,CSS_061219248372
对“具体的总体”的前提性批判——论马克思社会研究方法的深层结构与科学性特征,"马克思从“抽象的规定”上升到“思想的具体”的社会研究方法,长期受到“实证主义”与“唯心主义”的多重误读。其根本原因在于马克思的社会研究成果是以“具体的总体”的形式表现出来的,而从“现实的具体”蒸发到“抽象的规定”的研究形式却无法同时显示出来。因此,需要在区分“现实的具体”“抽象的规定”“具体的总体”的基础上,批判性地揭示“具体的总体”的前提、形式与限度,以提炼与论证马克思社会研究方法的深层结构及其科学性特征。马克思的社会研究方法既是解构“资产阶级社会”的理论武器,又对中国式现代化道路具有不可替代的指导意义。",2025,王时中,现实的具体;抽象的规定;具体的总体;马克思社会研究方法;科学性,中国社会科学,,CSS_c27e51800976
资本主义与近代早期世界史宏大叙事,"资本主义的成长和发展是近代早期世界历史进程中的一个基本事实,对世界历史产生了重大而深远的影响。资本主义是历史研究中的一个重要概念,也是历史学者进行分析和批判的工具,马克思主义关于资本主义生产方式的理论在雇佣劳动、资本积累、商品生产、世界市场等方面的论述,是研究过去五个世纪世界历史的重要的理论指导。历史学需要宏大叙事,要围绕资本主义成长发展的线索来理解和认识近代早期世界史。马克思主义关于资本主义生产方式的理论,适合成为构建近代早期世界史宏大叙事的框架。",2024,俞金尧,资本主义;世界历史;近代早期;宏大叙事,中国社会科学,,CSS_7d977b6fa8d1
城市更新与共享社会发展,"随着城市快速发展,原有以推动经济增长为主导的发展模式出现较多问题。城市高质量发展是新发展格局的必然要求,城市更新是对既有城市区域、社区的干预和改造。一方面,城市更新被视为对城市发展出现的衰退或破败等问题的回应,有利于城市空间和经济的改善;另一方面,城市更新是对文化的传承和再造,是对社会关系的重整、修复和提升。城市更新的二元论视角存在局限,需转变为系统论视角,以多层次、多维度的动力和社群机制推动城市发展。城市容量不应只是空间和经济的改进,还应包括社会的全方位提升,以更好回应人民对美好生活的向往,推进人民城市建设。我国城市更新基于纵横交错的社会互动,以共享社会发展为根本目标,逐步形成立体的、多尺度的城市空间。",2024,黄晓星,城市更新;社会动力;社群机制;社会互动结构;共享社会发展,中国社会科学,,CSS_ca2d4167bcf9
“新的文化生命体”的内涵与特征——基于中国式现代化的视角,"习近平文化思想提出了“新的文化生命体”这一重大原创性和标识性概念。就其内涵来说,“新的文化生命体”是指经由“两个结合”而形成的“新文化”基础上所生成的中国式现代化的文化形态。一方面,马克思主义传入中国,为“新的文化生命体”注入了“魂脉”,使该文化生命体从其开端处便置身世界社会主义的运动之中,把实现人类的自由和解放作为目标,因而被赋予了“社会主义—共产主义”的根本性质。另一方面,这一“新的文化生命体”在坚守中华优秀传统文化“根脉”的基础上实现了对它的创造性转化和创新性发展,推进了中华文明的生命更新和现代转型。就其特征来说,它在传承中华文明连续性、创新性、统一性、包容性、和平性的总体性特征的基础上,形成三个具体特征,即文化主体性特征、文化辩证性特征以及文化普遍性特征。",2024,吴宏政,新的文化生命体;中国式现代化;文化主体性;文化辩证性;文化普遍性,中国社会科学,,CSS_d4c84f1c19f3
大变局背景下的国际商事仲裁:世界潮流与中国因应,"在世界百年未有之大变局的背景下,国际商事仲裁体系呈现出此消彼长中的格局变化、技术迭代中的业态调整、文化多样中的制度融合特征。体系变动促使国际商事仲裁制度调适,表现为在维护基本公正的前提下追求效率,在公私利益交融的过程中公共政策限制放松,在基于意思自治的前提下仲裁机构权力崛起。在大变局背景下,中国仲裁制度也迎来改革契机,改革的推进应在全面依法治国的要求下,克服仲裁过度行政化;在市场经济发展的内在需求下,解决仲裁工具化、行政化和地域化等问题;在参与全球治理中对标国际,助力高水平对外开放。在具体改革方略上,应围绕中国式现代化建设目标健全仲裁制度,以包容性立法完善制度体系,以中立性监管保障制度运行,以友好型司法筑牢制度底线。",2024,刘晓红;冯硕,大变局;涉外法治;国际商事仲裁;仲裁法;中国式现代化,中国社会科学,,CSS_bfc1cabdacc7
论社会法的本质属性,"作为七大法律部门之一和独立的法学二级学科,我国学术界对社会法的本质属性仍是众说纷纭,尚未达成统一的见解。体现社会法本质的基本范畴是社会保护、社会保障和社会促进,决定社会法本质的有政治国家、经济社会和历史文化要素。在本质上,社会法是弥补私法不足的法律体系,调整的是表面平等而实质不平等的社会关系,它主要通过基准法机制发挥作用,以保障民生安全,增进民生福祉。围绕社会法本质完善我国社会法体系,需要进一步加强科学和民主立法,提升社会法行政执法效能,推动社会法司法化进程。",2024,余少祥,社会法;基本范畴;决定要素;本质属性,中国社会科学,,CSS_c22bcb8c7255
国家数字能力:数字革命中的国家治理能力建设,"国家治理能力主要由国家秩序能力、国家赋权能力和国家创新能力构成。数字革命对于包括数字秩序能力、数字赋权能力与数字创新能力在内的国家数字能力建设提出了新的要求。基于自主性和嵌入性的评价体系,国家数字能力可区分为双强平衡型、国家强力型、社会灵活型、双重脆弱型四种类型。当前,加强国家数字能力建设已成为一个全球性问题。中国的国家数字能力表现出社会灵活型的特征,主要通过平台型企业的委托治理以及激发社会大众的数字参与来实现数字领域的治理目标,因此也面临委托治理的危机。朝向双强平衡型的国家数字能力建设,要注重自主性与嵌入性的动态平衡。",2023,高奇琦,国家数字能力;创新能力;赋权;自主性,中国社会科学,,CSS_f461a4809c20
论新时代的中国时代精神,"一个民族的时代精神,是这个民族时代性发展的观念性表达。当代中国的时代精神,就是以改革创新为核心的时代精神。新时代哲学首先要反映当代中国人民的时代精神。马克思主义中国化最新成果就是新时代中国时代精神的精华。习近平新时代中国特色社会主义思想在新的历史条件下推进马克思主义基本原理同中国具体实际相结合、同中华优秀传统文化相结合,是马克思主义中国化和中国精神的最新时代表达。它不仅是时代性问题的反映,而且也因其对时代发展趋势的把握,成为引领时代发展的力量。新时代的中国精神立足中华大地,反映新发展阶段中华民族的民族精神、人文情怀、价值理想,是面向现代化、面向世界、面向未来的精神。",2023,韩震,新时代;时代精神;马克思主义中国化,中国社会科学,,CSS_845fc447a9e4
论21世纪马克思主义,"“21世纪马克思主义”是对马克思主义最新成果的科学概括,习近平新时代中国特色社会主义思想是其集中体现。21世纪马克思主义自觉顺应马克思主义发展逻辑,不断推进理论形态的与时俱进与实践形态的创新发展;深刻把握世界百年未有之大变局的本质、特征、趋势,标注出掌握历史主动、引领世界社会主义振兴的历史方位;在社会发展阶段演进的历史与逻辑统一、民族复兴与世界历史进程的同频共振、政党优势推动政治文明进步的合规律性、理论本土化的历史文化基因塑造等重大理论问题上作出原创性贡献;中国式现代化的文明新形态、“一带一路”的经济全球化新样态、人类命运共同体的新世界图景为中国道路赢得竞争新优势,为人类社会发展进步贡献出中国方案。21世纪马克思主义的伟大创造,使得马克思主义放射出更加灿烂的真理光芒、焕发出更加强大的实践伟力。",2022,辛鸣,21世纪马克思主义;发展逻辑;世界大变局;理论创造;中国道路,中国社会科学,,CSS_068a07091443
人类文明新形态的创造与世界意义,"党中央团结带领人民创造的人类文明新形态是运用马克思主义基本原理解决中国问题和世界问题的创造,是马克思主义的时代精华,也是坚守中华文化立场解决中国问题的伟大创造,是中华优秀文化的时代精华。人类文明新形态是促进人的自由全面发展、实现人民美好生活向往的文明,是“五位一体”整体推进、协调发展的文明,是占领了真理和道义制高点的文明。人类文明新形态的伟大创造充分彰显了当代中国马克思主义与21世纪马克思主义的科学性与人民性,深刻体现了习近平新时代中国特色社会主义思想的真理力量与道义力量,是人类文明发展的必由之路,具有重要的世界意义。",2022,孙熙国;陈绍辉,人类文明新形态;中国共产党;中国式现代化,中国社会科学,,CSS_e3ba10e9abff
中国式物权制度的文明刻度,"中国式物权制度对标以公有制为前提发展市场经济、平衡实现人民福祉与民事主体权利的制度需求,以“三重所有权”结构安排捍卫中国特色社会主义公有制、以“多层级用益物权体系”制度创新满足人民对美好生活的向往、以“平等保护”法律原则维护市场机制的有效运作。这着眼于中国现实国情与发展阶段,兼顾公正与效率,妥善平衡公私关系,萃取了中国实践的自主性探索,实现了坚持公有制与发展市场经济、维护人民福祉与保障民事主体权利的有效结合,创新性地回应了财产权文明的世界之问,提升了财产权文明的时代刻度。",2022,蔡立东,中国式物权制度;三重所有权;多层级用益物权;平等保护,中国社会科学,,CSS_66cb99ff014b
中世纪西欧法律的多元一体建构,"西罗马帝国晚期的《狄奥多西法典》,是日耳曼人大迁徙时所面临的统一的法律体系。此后,日耳曼人纷纷建国立法,打碎了这一法律体系,开启了多元的法律建构进程。随着封建经济社会生活的稳定和发展,中世纪西欧逐渐形成了封建法、教会法、海商法三大法律体系鼎立的局面。罗马法复兴则从法理上把这三大法律体系统一起来,从而形成了中世纪西欧法律的“三位一体”格局。从总体上看,中世纪西欧法律的建构经历了从一体到多元,又从多元走向新的一体的过程。这对重新认识中世纪西欧的法律文明具有重要启示。",2022,张乃和,中世纪;西欧;法律;多元一体;社会性质,中国社会科学,,CSS_7cd12d3f9b2d
积极应对人口老龄化的“中国方案”,"中国人口老龄化进程具有特殊性,我们的基础国情、发展路径和治理模式更对其应对方案提出了特定要求,亟须走出一条中国特色积极应对人口老龄化道路。中国在积极应对人口老龄化中具备一核多元的治理范式优势、国家—家庭—社会相均衡的治理结构优势、大国模型和文化背景下的国家禀赋性优势,以及时代更迭和技术跃迁可能带来的后发比较优势。应在厘清积极应对人口老龄化国家战略与人口发展战略关系的基础上构建积极老龄观以优化国家战略实施环境,融会老龄社会治理的中国优势以形成“身—家—群—国—世”相贯通的整体性治理格局,不断凝练并充实积极应对人口老龄化的“中国方案”体系。",2022,胡湛;彭希哲;吴玉韶,人口老龄化;老龄社会治理;中国方案;家庭;人口治理,中国社会科学,,CSS_851005541c30
文明比较与文化自觉:迈向和而不同的比较历史社会学,"长期以来,比较历史社会学研究深陷“非西方社会为什么没有发展出现代资本主义”的韦伯式问题意识,错失了基于中国文明主体的提问。有必要立足中国文明自身重新发问,批判地检讨韦伯比较历史社会学的得失,以期讲出中国道理。这就需要采取中国文明的内部视角,从“世界图像”和“利益”两个层次重构中国文明的“理念型”。中国文明由于人性论上的优长,能够开辟出一条“将心比心”的“礼”治之路,为世界贡献一种真正和而不同的普遍主义,有助于再造文明间共识,构建一个和而不同的全球社会。",2022,李荣山,虚实相生;和而不同;文明比较;文化自觉,中国社会科学,,CSS_f9cdeeee6576
